127.0.0.1-2009-12-29 09:09:25-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-add.php
127.0.0.1-2009-12-29 09:09:28-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-add.php
127.0.0.1-2009-12-29 09:09:35-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-add.php
127.0.0.1-2009-12-29 09:09:49-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-
127.0.0.1-2009-12-29 09:09:52-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 09:24:17-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:36:18-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:36:22-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:36:50-/eni/application/app-php-mysql/carnet-view.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:37:39-/eni/application/app-php-mysql/carnet-search.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:38:28-/eni/application/app-php-mysql/carnet-search.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:39:14-/eni/application/app-php-mysql/carnet-search.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-view.php
127.0.0.1-2009-12-29 12:39:59-/eni/application/app-php-mysql/admin.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/carnet-search.php
127.0.0.1-2009-12-29 12:40:01-/eni/application/app-php-mysql/admin-add.php-Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.1.6) Gecko/20091201 Firefox/3.5.6 FirePHP/0.3-http://localhost/eni/application/app-php-mysql/admin.php
